@Αἰγίλιψ|n268
ἐμπυριβήτης|n3099
ἐμφορέω|n3100
ἐμφύω|n3102
ἐμός|n3080
ἐν|n3103
ἐνάλιος|n3107
ἐνέηκα|n3135
ἐνέκυρσε|n3139
ἐνένιπον|n3141
ἐνέπω|n3142
ἐνέρτερος|n3146
ἐνήνοθε|n3157
ἐνήρατο|n3156
ἐνί|n3164
ἐνίημι|n3168
ἐνίπλειος|n3173
ἐνίπτω|n3177
ἐνίσπη|n3179
ἐνίσσω|n3181
ἐνίψω|n3183
ἐναίρω|n3104
ἐναίσιμος|n3105
ἐναλίγκιος|n3106
ἐναμέλγω|n3108
ἐναντίβιον|n3110
ἐναντίος|n3111
ἐναρίζω|n3116
ἐναρίθμιος|n3117
ἐναργής|n3114
ἐναρηρώς|n3115
ἐνδέξιος|n3124
ἐνδέω1|n3125
ἐνδέω|n3125
ἐνδίημι|n3126
ἐνδείκνυμι|n3120
ἐνδουπέω|n3132
ἐνδυκέως|n3133
ἐνδύνω|n3134
ἐνενήκοντα|n3140
ἐνερείδω|n3143
ἐνεστήρικτο|n3148
ἐνετή|n3149
ἐνετοί|n3150
ἐνεύδω|n3151
ἐνεύναιον|n3152
ἐνεῖκαι|n3136
ἐνηής|n3154
ἐνηείη|n3153
ἐνθάδε|n3159
ἐνθρώσκω|n3162
ἐνθύμιος|n3163
ἐνιαυτός|n3166
ἐνιαύσιος|n3165
ἐνιαύω|n3167
ἐνικλάω|n3170
ἐνιπή|n3172
ἐνιπεύς|n3171
ἐνιπλήσσω|n3175
ἐνιπλησθῆναι|n3174
ἐνιπρήθω|n3176
ἐνισκίμπτω|n3178
ἐνισπήσω|n3180
ἐνιχριμφθέντα|n3182
ἐνιῆνες|n3169
ἐννέα|n3184
ἐννέωρος|n3192
ἐννήκοντα|n3193
ἐννεάβοιος|n3185
ἐννεάπηχυς|n3187
ἐννεάχιλοι|n3188
ἐννεακαίδεκα|n3186
ἐννεσίη|n3191
ἐννεόργυιος|n3190
ἐννοσίγαιος|n3196
ἐννύχιος|n3198
ἐννῆμαρ|n3194
ἐνοινοχοέω|n3199
ἐνοπή|n3200
ἐνορούω|n3203
ἐνοσίχθων|n3205
ἐνσκίμπτω|n3206
ἐνστάζω|n3207
ἐνστηρίζω|n3208
ἐνστρέφω|n3209
ἐντίθημι|n3218
ἐντανύω|n3210
ἐνταυθοῖ|n3212
ἐνταῦθα|n3211
ἐντείνω|n3214
ἐντεσίεργος|n3216
ἐντεῦθεν|n3217
ἐντρέπω|n3222
ἐντρέχω|n3223
ἐντροπαλίζομαι|n3224
ἐντυπάς|n3226
ἐντός|n3220
ἐντύνω|n3225
ἐνυάλιος|n3227
ἐνυεύς|n3228
ἐνυώ|n3230
ἐνωπαδίως|n3231
ἐνωπῇ|n3232
ἐνόπη|n3201
ἐνόρνυμι|n3202
ἐνύπνιος|n3229
ἐνώπια|n3233
ἐξάγω|n3237
ἐξάδιος|n3238
ἐξάλλομαι|n3250
ἐξάπτω|n3267
ἐξάρνυμαι|n3268
ἐξάρχω|n3271
ἐξέλκω|n3285
ἐξέμεν|n3286
ἐξέρχομαι|n3294
ἐξέτι|n3298
ἐξήλασα|n3302
ἐξήλατος|n3303
ἐξήπαφε|n3306
ἐξήρατο|n3308
ἐξίημι|n3311
ἐξίμεναι|n3314
ἐξίσχω|n3315
ἐξαίνυμαι|n3240
ἐξαίρετος|n3241
ἐξαίρω|n3243
ἐξαίσιος|n3244
ἐξαίφνης|n3246
ἐξαγγέλλω|n3235
ἐξαγορεύω|n3236
ἐξαιρέω|n3242
ἐξακέομαι|n3247
ἐξαλαπάζω|n3249
ἐξαλαόω|n3248
ἐξανίημι|n3255
ἐξαναβαίνω|n3251
ἐξαναδύνω|n3252
ἐξαναλύω|n3253
ἐξαναφανδόν|n3254
ἐξανύω|n3256
ἐξαπίνης|n3259
ἐξαπατάω|n3257
ἐξαπαφίσκω|n3258
ἐξαποβαίνω|n3260
ἐξαποδίομαι|n3261
ἐξαποδύνω|n3262
ἐξαπονέομαι|n3264
ἐξαπονίζω|n3265
ἐξαποτίνω|n3266
ἐξαπόλλυμι|n3263
ἐξαρπάζω|n3269
ἐξαυδάω|n3272
ἐξαφαιρέω|n3274
ἐξαφύω|n3275
ἐξείρομαι|n3281
ἐξεκυλίσθη|n3282
ἐξελαύνω|n3283
ἐξελεῖν|n3284
ἐξεμέω|n3287
ἐξεναρίζω|n3288
ἐξερέω1|@
ἐξερέω2|@
ἐξερέω|@
ἐξερείπω|n3290
ἐξερεείνω|n3289
ἐξερωέω|n3295
ἐξερύω|n3293
ἐξεσίη|n3296
ἐξευρίσκω|n3299
ἐξεῖδον|n3276
ἐξεῖπον|n3280
ἐξηγέομαι|n3300
ἐξημοιβός|n3305
ἐξηράνθη|n3307
ἐξηρώησα|n3309
ἐξιθύνω|n3312
ἐξικνέομαι|n3313
ἐξοίσω|n3316
ἐξοίχομαι|n3318
ἐξοιχνέω|n3317
ἐξονομαίνω|n3320
ἐξονομακλήδην|n3321
ἐξοπίσω|n3323
ἐξορμάω|n3324
ἐξοφέλλω|n3325
ἐξυπανίστημι|n3327
ἐξόλλυμι|n3319
ἐξόπιθε|n3322
ἐπάγην|n3343
ἐπάγω|n3345
ἐπάλμενος|n3361
ἐπάλτης|n3363
ἐπάρουρος|n3379
ἐπάρχομαι|n3382
ἐπέδραμον|n3390
ἐπέην|n3391
ἐπέκερσε|n3405
ἐπέλησε|n3407
ἐπένειμε|n3410
ἐπέοικα|n3415
ἐπέπιθμεν|n3416
ἐπέπληγον|n3417
ἐπέπλως|n3418
ἐπέπταρε|n3421
ἐπέπτατο|n3422
ἐπέπυστο|n3423
ἐπέρχομαι|n3427
ἐπέσπον|n3431
ἐπέσσεται|n3432
ἐπέσσυται|n3433
ἐπέστη|n3434
ἐπέσχον|n3435
ἐπέφραδον|n3441
ἐπέχω|n3442
ἐπήβολος|n3443
ἐπήιεν|n3447
ἐπήλυθον|n3448
ἐπήν|n3450
ἐπήρατος|n3454
ἐπήρετμος|n3455
ἐπήριτος|n3457
ἐπήτριμος|n3461
ἐπί|n3463
ἐπίβαθρον|n3468
ἐπίδαυρος|n3488
ἐπίδρομος|n3500
ἐπίηλε|n3510
ἐπίηρα|n3512
ἐπίθημα|n3516
ἐπίκαρ|n3521
ἐπίκειμαι|n3524
ἐπίκλησις|n3534
ἐπίκλοπος|n3536
ἐπίκουρος|n3541
ἐπίκριον|n3547
ἐπίληθος|n3552
ἐπίμαστος|n3562
ἐπίξυνος|n3580
ἐπίορκος|n3582
ἐπίουρα|n3584
ἐπίουρος|n3585
ἐπίρροθος|n3610
ἐπίσκοπος1|n3614
ἐπίσκοπος|n3614
ἐπίσπαστος|n3618
ἐπίσσωτρον|n3623
ἐπίσταμαι|n3625
ἐπίστιον|n3632
ἐπίστροφος|@
ἐπίστωρ|n3639
ἐπίσχεσις|n3643
ἐπίσχω|n3644
ἐπίτονος|n3654
ἐπίφρων|n3666
ἐπαίσσω|n3351
ἐπαίτιος|n3353
ἐπαγάλλομαι|n3340
ἐπαγγέλλω|n3341
ἐπαγείρω|n3342
ἐπαγλαίζομαι|n3344
ἐπαείρω|n3346
ἐπαιγίζω|n3348
ἐπαινέω|n3349
ἐπαινός|n3350
ἐπαιτέω|n3352
ἐπακούω|n3354
ἐπακτήρ|n3355
ἐπαλάομαι|n3356
ἐπαλέξω|n3358
ἐπαλαστέω|n3357
ἐπαληθείς|n3359
ἐπαλλάσσω|n3360
ἐπαμάομαι|n3365
ἐπαμείβω|n3366
ἐπαμοιβαδίς|n3367
ἐπαμύντωρ|n3368
ἐπαμύνω|n3369
ἐπανίστημι|n3371
ἐπανατίθημι|n3370
ἐπαοιδή|n3372
ἐπαπειλέω|n3373
ἐπαρή|n3375
ἐπαρήγω|n3376
ἐπαρήρει|n3377
ἐπαραρίσκω|n3374
ἐπαρκέω|n3378
ἐπαρτής|n3380
ἐπαρτύω|n3381
ἐπαρωγός|n3383
ἐπασκέω|n3384
ἐπασσύτερος|n3385
ἐπαυρίσκω|n3387
ἐπαφύσσω|n3388
ἐπεί|n3392
ἐπείγω|n3394
ἐπείπερ|n3402
ἐπεγείρω|n3389
ἐπειή|n3397
ἐπειγεύς|n3393
ἐπειδάν|n3395
ἐπειδή|n3396
ἐπειοί|n3400
ἐπειός|n3401
ἐπεκέκλετο|n3404
ἐπελαύνω|n3406
ἐπεμβαίνω|n3408
ἐπενήνεον|n3411
ἐπενήνοθε|n3412
ἐπενεῖκαι|n3409
ἐπεντανύω|n3413
ἐπεντύνω|n3414
ἐπεποίθει|n3419
ἐπεπόνθει|n3420
ἐπερείδω|n3424
ἐπερρώσαντο|n3425
ἐπερύω|n3426
ἐπεσβολίη|n3428
ἐπεσβόλος|n3429
ἐπετήσιος|n3436
ἐπευφημέω|n3438
ἐπεύχομαι|n3439
ἐπηγκενίδες|n3444
ἐπηετανός|n3446
ἐπημοιβός|n3449
ἐπηπύω|n3453
ἐπηρεφής|n3456
ἐπητής|n3460
ἐπητύς|n3462
ἐπιάλλω|n3464
ἐπιάλμενος|n3465
ἐπιάχω|n3467
ἐπιέλπομαι|n3507
ἐπιέννυμι|n3508
ἐπιήνδανε|n3511
ἐπιήρανος|n3513
ἐπιίστωρ|n3520
ἐπιανδάνω|n3466
ἐπιβάλλω|n3470
ἐπιβάσκω|n3471
ἐπιβήμεναι|n3472
ἐπιβήτωρ|n3473
ἐπιβαίνω|n3469
ἐπιβλής|n3474
ἐπιβοάω|n3475
ἐπιβουκόλος|n3476
ἐπιβρέμω|n3477
ἐπιβρίθω|n3478
ἐπιβωσόμεθα|n3479
ἐπιβώτωρ|n3480
ἐπιγίγνομαι|n3481
ἐπιγιγνώσκω|n3482
ἐπιγνάμπτω|n3483
ἐπιγνώῃ|n3484
ἐπιγουνίς|n3485
ἐπιγράβδην|n3486
ἐπιγράφω|n3487
ἐπιδέδρομε|n3489
ἐπιδέξιος|n3490
ἐπιδήμιος|n3494
ἐπιδίδωμι|n3495
ἐπιδίφριος|n3498
ἐπιδευής|n3491
ἐπιδεύομαι|n3492
ἐπιδημεύω|n3493
ἐπιδινέω|n3496
ἐπιδιφριάς|n3497
ἐπιδραμεῖν|n3499
ἐπιδώμεθα|n3501
ἐπιείκελος|n3502
ἐπιείσομαι|n3506
ἐπιεικής|n3503
ἐπιεικτός|n3504
ἐπιειμένος|n3505
ἐπιζάφελος|n3509
ἐπιθαρσύνω|n3514
ἐπιθεῖτε|n3515
ἐπιθρέξας|n3517
ἐπιθρώσκω|n3518
ἐπιθύω1|n3519
ἐπιθύω|n3519
ἐπικάρσιος|n3522
ἐπικάστη|n3523
ἐπικέλλω|n3526
ἐπικέλομαι|n3527
ἐπικίδναμαι|n3530
ἐπικίρνημι|n3531
ἐπικείρω|n3525
ἐπικερτομέω|n3528
ἐπικεύθω|n3529
ἐπικλίνω|n3535
ἐπικλείω2|n3532
ἐπικλείω|n3532
ἐπικλύω|n3537
ἐπικλώθω|n3538
ἐπικλῆς|n3533
ἐπικουρέω|n3540
ἐπικρήηνον|n3545
ἐπικραίνω|n3542
ἐπικρατέω|n3543
ἐπικρατέως|n3544
ἐπικρῆσαι|n3546
ἐπικόπτω|n3539
ἐπιλάμπω|n3548
ἐπιλήθω|n3553
ἐπιλίγδην|n3555
ἐπιλανθάνω|n3549
ἐπιλείβω|n3550
ἐπιλεύσσω|n3551
ἐπιληκέω|n3554
ἐπιλλίζω|n3556
ἐπιλωβεύω|n3557
ἐπιμάρτυρος|n3560
ἐπιμέμφομαι|n3564
ἐπιμένω|n3565
ἐπιμήδομαι|n3566
ἐπιμίμνω|n3570
ἐπιμίξ|n3571
ἐπιμίσγομαι|n3572
ἐπιμαίνομαι|n3558
ἐπιμαίομαι|n3559
ἐπιμασσάμενος|n3561
ἐπιμειδάω|n3563
ἐπιμηνίω|n3568
ἐπιμιμνήσκομαι|n3569
ἐπιμνησαίμεθα|n3573
ἐπιμύζω|n3574
ἐπιμῆνις|n3567
ἐπινέμω|n3575
ἐπινέω1|n3578
ἐπινέω|n3578
ἐπινεφρίδιος|n3577
ἐπινεύω|n3576
ἐπινηνέω|n3579
ἐπιορκέω|n3581
ἐπιπέλομαι|n3588
ἐπιπέτομαι|n3589
ἐπιπίλναμαι|n3590
ἐπιπείθομαι|n3587
ἐπιπλάζομαι|n3591
ἐπιπλέω|n3592
ἐπιπλήσσω|n3593
ἐπιπλόμενον|n3594
ἐπιπλώω|n3595
ἐπιπνέω|n3596
ἐπιποιμήν|n3597
ἐπιπρέπω|n3598
ἐπιπροέμεν|n3599
ἐπιπροίημι|n3601
ἐπιπροιάλλω|n3600
ἐπιπτέσθαι|n3603
ἐπιπταίρω|n3602
ἐπιπωλέομαι|n3604
ἐπιρρέζω|n3605
ἐπιρρέπω|n3606
ἐπιρρέω|n3607
ἐπιρρήσσω|n3608
ἐπιρρίπτω|n3609
ἐπιρρώομαι|n3611
ἐπισείω|n3612
ἐπισεύω|n3613
ἐπισκύζομαι|n3615
ἐπισκύνιον|n3616
ἐπισμυγερῶς|n3617
ἐπισπέρχω|n3620
ἐπισπέσθαι|n3621
ἐπισπεῖν|n3619
ἐπισσείω|n3622
ἐπιστάτης|n3627
ἐπιστέφομαι|n3630
ἐπιστήμων|n3631
ἐπισταδόν|n3624
ἐπισταμένως|n3626
ἐπιστενάχομαι|n3628
ἐπιστεφής|n3629
ἐπιστοναχέω|n3633
ἐπιστρέφω|n3634
ἐπιστροφάδην|n3635
ἐπιστρωφάω|n3638
ἐπισφύριον|n3640
ἐπισχερώ|n3641
ἐπισχεσίη|n3642
ἐπιτάρροθος|n3645
ἐπιτέλλω1|n3646
ἐπιτέλλω|n3646
ἐπιτέρπομαι|n3647
ἐπιτέτραπται|n3648
ἐπιτίθημι|n3650
ἐπιτηδές|n3649
ἐπιτιμήτωρ|n3651
ἐπιτλῆναι|n3652
ἐπιτολμάω|n3653
ἐπιτοξάζομαι|n3655
ἐπιτρέπω|n3657
ἐπιτρέχω|n3658
ἐπιτραπέω|n3656
ἐπιτροχάδην|n3659
ἐπιφέρω|n3660
ἐπιφθονέω|n3661
ἐπιφλέγω|n3662
ἐπιφράζομαι|n3663
ἐπιφρονέουσα|n3664
ἐπιφροσύνη|n3665
ἐπιχέω|n3669
ἐπιχειρέω|n3667
ἐπιχεῦαι|n3668
ἐπιχθόνιος|n3670
ἐπιχράω1|n3671
ἐπιχράω|n3671
ἐπιχρίω|n3672
ἐπιψαύω|n3673
ἐπιωγαί|n3674
ἐπιόσσομαι|n3583
ἐπιόψομαι|n3586
ἐπιών|n3675
ἐποίσει|n3679
ἐποίχομαι|n3680
ἐπομφάλιος|n3683
ἐποπίζομαι|n3684
ἐποπτάω|n3685
ἐποπτεύω|n3686
ἐπορέγω|n3687
ἐπορούω|n3689
ἐποτρύνω|n3691
ἐπουράνιος|n3692
ἐποχέομαι|n3693
ἐπόμνυμι|n3682
ἐπόρνυμι|n3688
ἐπόψομαι|n3694
ἐπώνυμος|n3706
ἐπώχατο|n3708
ἐπᾶλτο|n3364
ἐπῄνεον|n3451
ἐπῆεν|n3445
ἐπῆρσα|n3458
ἐπῇσαν|n3459
ἐπῶρτο|n3707
ἐράσσατο|n3713
ἐρέβινθος|n3723
ἐρέθω|n3727
ἐρέομαι|n3736
ἐρέπτομαι|n3737
ἐρέριπτο|n3738
ἐρέσσω|n3739
ἐρέτης|n3740
ἐρέφω|n3747
ἐρέχθω|n3749
ἐρέω1|@
ἐρέω2|@
ἐρέω|@
ἐρίγδουπος|n3759
ἐρίδουπος|n3762
ἐρίζω|n3763
ἐρίηρος|n3764
ἐρίμυκος|n3768
ἐρίτιμος|n3778
ἐραννός|n3711
ἐρατίζω|n3715
ἐρατεινός|n3714
ἐρατός|n3716
ἐργάζομαι|n3717
ἐρείδω|n3728
ἐρείκω|n3729
ἐρείομεν|n3731
ἐρείπω|n3732
ἐρεβεννός|n3722
ἐρεείνω|n3725
ἐρεθίζω|n3726
ἐρεμβοί|n3733
ἐρεμνός|n3734
ἐρετμεύς|n3741
ἐρετμόν|n3742
ἐρευθαλίων|n3744
ἐρευνάω|n3746
ἐρεχθεύς|n3748
ἐρεύγομαι2|n3743
ἐρεύγομαι|n3743
ἐρεύθω|n3745
ἐρηρέδαται|n3753
ἐρητύω|n3754
ἐρι|n3755
ἐριαύχην|n3756
ἐριβρεμέτης|n3757
ἐριβῶλαξ|n3758
ἐριδαίνω|n3760
ἐριδμαίνω|n3761
ἐριθηλής|n3765
ἐρικυδής|n3767
ἐρινεός|n3769
ἐρινόν|n3770
ἐρινύς|n3771
ἐριούνης|n3773
ἐρισθενής|n3775
ἐριστάφυλος|n3777
ἐριφύλη|n3780
ἐριχθόνιος|n3781
ἐριῶπις|n3782
ἐρμίς|n3791
ἐρράδαται|n3800
ἐρυγών|n3806
ἐρυθαίνομαι|n3807
ἐρυθρός|n3810
ἐρυθῖνοι|n3808
ἐρυκακέειν|n3811
ἐρυκανάω|n3812
ἐρυσάρματες|n3819
ἐρυσίπτολις|n3820
ἐρχατάω|n3823
ἐρχθείς|n3824
ἐρωέω|n3828
ἐρωή|n3829
ἐρωτάω|n3831
ἐρύγμηλος|n3805
ἐρύθραι|n3809
ἐρύκω|n3813
ἐρύλαος|n3814
ἐρύμανθος|n3816
ἐρύμας|n3817
ἐρύομαι|n3818
ἐρύω1|n3821
ἐρύω|n3821
ἐρῆμος|n3752
ἐρῳδιός|n3827
ἐς|n3832
ἐσέδρακον|n3836
ἐσέχυντο|n3839
ἐσήλατο|n3840
ἐσδύσεαι|n3835
ἐσελεύσομαι|n3837
ἐσεμάσσατο|n3838
ἐσθής|n3842
ἐσθίω|n3843
ἐσθλός|n3844
ἐσιέμεναι|n3848
ἐσιδεῖν|n3847
ἐσσεύοντο|n3857
ἐσσεῖται|n3856
ἐσσυμένως|n3861
ἐσχάρη|n3865
ἐσχατιή|n3866
ἐσχατόων|n3868
ἐσόψομαι|n3850
ἐσᾶλτο|n3833
ἐτέρσετο|n3881
ἐτέταλτο|n3886
ἐτέτυκτο|n3889
ἐτήτυμος|n3893
ἐτεθήπεα|n3874
ἐτεοκλήειος|n3875
ἐτετεύχατο|n3887
ἐτεωνεύς|n3890
ἐτεωνός|n3891
ἐτεόκρητες|n3876
ἐτεός|n3877
ἐτράφην|n3901
ἐυκλήις|n3946
ἐυκλείη|n3945
ἐυκνήμις|n3947
ἐυκτίμενος|n3949
ἐυμμελίης|n3960
ἐυπλεκής|n3978
ἐυπλοκάμις|n3980
ἐυπλυνής|n3981
ἐυρραφής|n3988
ἐυρρεής|n3989
ἐυστέφανος|n4033
ἐυτρεφής|n4038
ἐυφραδέως|n4048
ἐυφρονέων|n4050
ἐυφροσύνη|n4051
ἐυφυής|n4053
ἐφάλλομαι|n4066
ἐφάνη|n4070
ἐφάπτω|n4071
ἐφέζομαι|n4073
ἐφέηκα|n4074
ἐφέλκω|n4076
ἐφέννυμι|n4077
ἐφέπω|n4078
ἐφέσσαι|n4079
ἐφέστιος|n4080
ἐφίζω|n4092
ἐφίημι|n4093
ἐφίληθεν|n4095
ἐφίστημι|n4096
ἐφανδάνω|n4069
ἐφαρμόζω|n4072
ἐφετμή|n4081
ἐφευρίσκω|n4082
ἐφεψιάομαι|n4083
ἐφεῖσα|n4075
ἐφημέριος|n4085
ἐφημοσύνη|n4086
ἐφθίαθ̓|n4089
ἐφιάλτης|n4090
ἐφιζάνω|n4091
ἐφικνέομαι|n4094
ἐφομαρτέω|n4098
ἐφοπλίζω|n4099
ἐφοράω|n4100
ἐφορμάω|n4101
ἐφορμή|n4102
ἐφυβρίζω|n4103
ἐφόλκαιον|n4097
ἐφύπερθε|n4105
ἐφύρη|n4106
ἐχέθυμος|n4110
ἐχέμμων|n4113
ἐχένηος|n4114
ἐχέπωλος|n4116
ἐχέφρων|@
ἐχίος|n4130
ἐχεκλῆς|n4111
ἐχεπευκής|n4115
ἐχθαίρω|n4123
ἐχθοδοπέω|n4125
ἐχθρός|n4128
ἐχῖναι|n4129
ἐύ.ξεστος|n3971
ἐύζωνος|n3927
ἐύθριξ|n3936
ἐύθρονος|n3937
ἐύπλειος|n3977
ἐύρροος|n3991
ἐύς|n4026
ἐύσκαρθμος|n4028
ἐύσκοπος|n4029
ἐύσσελμος|n4030
ἐύσσωρος|n4031
ἐύστρεπτος|n4034
ἐύτμητος|n4037
ἐύτρητος|n4040
ἐύτριχας|n4041
ἐύτροχος|n4042
ἐύφρων|n4052
ἐώλπει|n4137
ἐών|n4139
ἐώργει|n4141
ἐῆος|n2693
ἐῖσος|n2842
ἐῳνοχόει|n4140
ἐῴκει|n4136
ἐῶ|n4134
ἐῶσι2|n4144
ἐῶσι|n4144
ἑάφθη|n2604
ἑέσσατο|n2686
ἑήνδανε|n2692
ἑαδότα|n2596
ἑανός1|@
ἑανός2|@
ἑανός|@
ἑβδόματος|n2607
ἑδανός|n2646
ἑδνωτής|n2657
ἑδνόω|n2656
ἑδριάομαι|n2663
ἑκάβη|n2858
ἑκάεργος|n2859
ἑκάς|n2863
ἑκάστοθι|n2864
ἑκάτερθε|n2866
ἑκαμήδη|n2862
ἑκατηβελέτης|n2867
ἑκατηβόλος|n2868
ἑκατόγχειρος|n2869
ἑκατόζυγος|n2870
ἑκατόμβη|n2871
ἑκατόμβοιος|n2872
ἑκατόμπεδος|n2873
ἑκατόμπολις|n2874
ἑκατόμπυλος|n2875
ἑκατόν|n2876
ἑκηβολίη|n2900
ἑκηβόλος|n2901
ἑκκαιδεκάδωρος|n2907
ἑκτορίδης|n2956
ἑκτόρεος|n2955
ἑκυρή|n2963
ἑκυρός|n2964
ἑκών|n2975
ἑλέειν|n3003
ἑλένη|n3010
ἑλίκη|n3026
ἑλίσσω|n3030
ἑλετός|n3016
ἑλεῦ|n3017
ἑλικάων|n3025
ἑλικώνιος|n3027
ἑλικῶπις|n3028
ἑλκέω|n3033
ἑλκεσίπεπλος|n3031
ἑλκεχίτων|n3032
ἑλκηθμός|n3034
ἑλκυστάζω|n3036
ἑλλάς|n3039
ἑλλήσποντος|n3042
ἑλώριον|n3059
ἑνδέκατος|n3123
ἑνδεκάπηχυς|n3122
ἑξάετες|n3239
ἑξήκοντα|n3301
ἑξείης|n3277
ἑξετής|n3297
ἑξῆμαρ|n3304
ἑξῆς|n3310
ἑορτή|n3338
ἑοῖο|n3333
ἑπτά|n3696
ἑπτάπορος|n3700
ἑπτάπυλος|n3701
ἑπταέτης|n3698
ἑπταβόειος|n3697
ἑπταπόδης|n3699
ἑρκίον|n3784
ἑρκεῖος|n3783
ἑρμιόνη|n3790
ἑρμῆς|n3789
ἑρπετόν|n3797
ἑρπύζω|n3798
ἑρσήεις|n3804
ἑσπέριος|n3851
ἑσπόμην|n3854
ἑστάμεν|n3862
ἑτέρωθεν|n3882
ἑτέρωθι|n3883
ἑτέρως|n3884
ἑτέρωσε|n3885
ἑταίρη|n3871
ἑταιρίζω|n3872
ἑταῖρος|n3873
ἑτερήμερος|n3879
ἑτεραλκής|n3878
ἑτοιμάζω|n3896
ἑτοῖμος|n3897
ἑψιάομαι|n4133
ἑωσφόρος|n4145
ἑός|n3339
ἑῆς2|n2695
ἑῆς|n2695
ἔ|n2591
ἔα1|@
ἔα2|@
ἔα|@
ἔαξε|n2600
ἔαρ1|n2601
ἔαρ|n2601
ἔασιν|n2602
ἔβλητο|n2608
ἔγγυθι|n2616
ἔγκατα|n2620
ἔγκειμαι|n2623
ἔγρεο|n2633
ἔγχελυς|n2638
ἔγχος|n2642
ἔδαφος|n2648
ἔδδεισε|n2649
ἔδεκτο|n2651
ἔδμεναι|n2653
ἔδομαι|n2658
ἔδραθον|n2660
ἔδραμον|n2661
ἔδυν|n2664
ἔδω|n2665
ἔεδνα|n2668
ἔεργε|n2680
ἔερτο|n2684
ἔην|n2691
ἔησθε|n2696
ἔθ̓|n2697
ἔθειρα|n2698
ἔθνος|n2704
ἔθορον|n2705
ἔθρεψα|n2706
ἔθω|n2707
ἔικτο|n2734
ἔκβασις|n2880
ἔκγονος|n2885
ἔκδηλος|n2890
ἔκηα|n2899
ἔκλησις|n2915
ἔκμολεν|n2918
ἔκπαγλος|n2921
ἔκτα|n2946
ἔκταν|n2949
ἔκτοθεν|n2953
ἔκτοθι|n2954
ἔκτοσε|n2959
ἔκτοσθε|n2960
ἔκτυπε|n2961
ἔκφημι|n2968
ἔκφυγε|n2972
ἔλαιον|n2979
ἔλασα|n2980
ἔλασος|n2981
ἔλατος|n2986
ἔλαφος|n2990
ἔλαχε|n2992
ἔλδομαι|n2995
ἔλδωρ|n2996
ἔλεγχος1|n3001
ἔλεγχος|n3001
ἔλεκτο|n3008
ἔλεος1|n3013
ἔλεος|n3013
ἔλλαβε|n3038
ἔλπω|n3052
ἔλσαι|n3054
ἔλων|n3057
ἔμβρυον|n3066
ἔμεν|n3069
ἔμικτο|n3072
ἔμμαθε|n3073
ἔμμεν|n3076
ἔμμορε|n3078
ἔμμορος|n3079
ἔμπαιος1|n3082
ἔμπαιος|n3082
ἔμπεδος1|n3084
ἔμπεδος|n3084
ἔμπης|n3086
ἔμπλειος|n3089
ἔμπλην1|n3091
ἔμπλην|n3091
ἔμπορος|n3097
ἔμφυλος|n3101
ἔναντα|n3109
ἔναξε|n3112
ἔναρα|n3113
ἔνατος|n3118
ἔναυλος|n3119
ἔνδινα|n3127
ἔνδιος|n3128
ἔνδοθεν|n3129
ἔνδοθι|n3130
ἔνδον|n3131
ἔνειμι|n3137
ἔνερθε|n3144
ἔνεροι|n3145
ἔνεσαν|n3147
ἔνημαι|n3155
ἔνθα|n3158
ἔνθεν|n3160
ἔνθενδε|n3161
ἔννεον|n3189
ἔννομος|n3195
ἔνορχος|n3204
ἔντεα|n3213
ἔντερον|n3215
ἔντοσθε|n3221
ἔξαιτος|n3245
ἔξαρχος|n3270
ἔξαυτις|n3273
ἔξειμι1|@
ἔξειμι2|@
ἔξειμι|@
ἔξοχος|n3326
ἔξω|n3328
ἔοι|n3331
ἔοικα|n3332
ἔοις|n3334
ἔολπα|n3335
ἔον|n3336
ἔοργας|n3337
ἔπαθον|n3347
ἔπαλξις|n3362
ἔπαυλος|n3386
ἔπειμι1|@
ἔπειμι2|@
ἔπειμι|@
ἔπειτα|n3403
ἔπεσον|n3430
ἔπεφνον|n3440
ἔπηξα|n3452
ἔπλε|n3676
ἔπλεο|n3677
ἔπληντο|n3678
ἔπος|n3690
ἔπραθον|n3695
ἔπταρον|n3702
ἔπτατο|n3703
ἔπω|n3705
ἔραζε|n3709
ἔραμαι|n3710
ἔρανος|n3712
ἔργαθεν|n3718
ἔργον|n3719
ἔργω1|n3720
ἔργω|n3720
ἔρδω|n3721
ἔρεβος|n3724
ἔρειο|n3730
ἔρεξα|n3735
ἔριθος|n3766
ἔριον|n3772
ἔρις1|n3774
ἔρις|n3774
ἔρισμα|n3776
ἔριφος|n3779
ἔρνος|n3793
ἔρξω|n3794
ἔρομαι|n3795
ἔρος1|n3796
ἔρος|n3796
ἔρριγα|n3801
ἔρρω1|n3802
ἔρρω|n3802
ἔρυμα|n3815
ἔρχαται|n3822
ἔρχομαι|n3825
ἔρως|n3830
ἔρῳ|n3826
ἔσβη|n3834
ἔσθος|n3845
ἔσθω|n3846
ἔσκον|n3849
ἔσπετε|n3853
ἔσσο|n3858
ἔσσυμαι|n3860
ἔσχ̓|n3864
ἔσχατος|n3867
ἔσχεθον|n3869
ἔσω|n3870
ἔτετμον|n3888
ἔτης|n3892
ἔτι|n3894
ἔτλην|n3895
ἔτορον|n3898
ἔτος|n3899
ἔτραπον|n3900
ἔτυμος|n3902
ἔτωσιος|n3903
ἔφαγον|n4065
ἔφαλος|n4067
ἔφαν|n4068
